%time,field.Fix,field.Header.seq,field.Header.stamp,field.Header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_easting,field.UTM_northing,field.Zone,field.Letter
1664555713819765707,5,41,1664555711000000000,GPS1_Frame,42.3382225,-71.08649233333334,22.7,328116.14251632994,4689438.137513435,19.0,T
1664555716619797453,5,42,1664555712000000000,GPS1_Frame,42.338220166666666,-71.08649483333333,22.2,328115.9302017665,4689437.883468202,19.0,T
1664555719420187422,2,43,1664555713000000000,GPS1_Frame,42.33821916666667,-71.086495,21.9,328115.91374660796,4689437.772762732,19.0,T
1664555720222239659,2,44,1664555721000000000,GPS1_Frame,42.338191333333334,-71.0864475,22.7,328119.7510930816,4689434.586064811,19.0,T
1664555723021446300,5,45,1664555722000000000,GPS1_Frame,42.3381895,-71.08644216666667,23.5,328120.1854729607,4689434.371706244,19.0,T
1664555725822187967,5,46,1664555723000000000,GPS1_Frame,42.338188,-71.08644,23.9,328120.3598821367,4689434.200762956,19.0,T
1664555728622326945,2,47,1664555724000000000,GPS1_Frame,42.3381865,-71.08643733333334,24.3,328120.57548273186,4689434.028808967,19.0,T
1664555731523541153,4,48,1664555732000000000,GPS1_Frame,42.33818316666667,-71.08643033333334,32.3,328121.1430804641,4689433.644517885,19.0,T
1664555734326149868,4,49,1664555733000000000,GPS1_Frame,42.33818183333333,-71.08642733333333,32.3,328121.3865961388,4689433.490397186,19.0,T
1664555737124308165,4,50,1664555734000000000,GPS1_Frame,42.338181166666665,-71.08642816666666,32.4,328121.3161273784,4689433.418053431,19.0,T
1664555739921799482,4,51,1664555735000000000,GPS1_Frame,42.3381795,-71.08642366666666,32.3,328121.6823091142,4689433.223886522,19.0,T
1664555743221859208,4,52,1664555744000000000,GPS1_Frame,42.3381475,-71.08637733333333,32.0,328125.4121950971,4689429.576873596,19.0,T
1664555746019364351,4,53,1664555745000000000,GPS1_Frame,42.338145,-71.08637883333333,32.0,328125.2818094393,4689429.302299674,19.0,T
1664555748819567449,5,54,1664555746000000000,GPS1_Frame,42.338143,-71.08638133333334,31.9,328125.07040315855,4689429.085268296,19.0,T
1664555751619359658,2,55,1664555747000000000,GPS1_Frame,42.338142500000004,-71.08638316666666,31.8,328124.9180056073,4689429.03345292,19.0,T
1664555754419560160,2,56,1664555748000000000,GPS1_Frame,42.33814116666667,-71.0863855,31.5,328124.7221461551,4689428.8901129095,19.0,T
1664555755236614485,4,57,1664555756000000000,GPS1_Frame,42.3381075,-71.0864235,32.0,328121.4998685261,4689425.228498411,19.0,T
